Results_Name,VSPAERO_Rotor
Results_Timestamp,1730281840
Results_Date,10,30,2024
Results_Time,9,50,40
Angle,1.800000000000000000e+01,3.600000000000000000e+01,5.400000000000000000e+01,7.200000000000000000e+01,9.000000000000000000e+01,1.080000000000000000e+02,1.260000000000000000e+02,1.440000000000000000e+02,1.620000000000000000e+02,1.800000000000000000e+02,1.980000000000000000e+02,2.160000000000000000e+02,2.340000000000000000e+02,2.520000000000000000e+02,2.700000000000000000e+02,2.880000000000000000e+02,3.060000000000000000e+02,3.240000000000000000e+02,3.420000000000000000e+02,3.600000000000000000e+02,3.780000000000000000e+02,3.960000000000000000e+02,4.140000000000000000e+02,4.320000000000000000e+02,4.500000000000000000e+02,4.680000000000000000e+02,4.860000000000000000e+02,5.040000000000000000e+02,5.220000000000000000e+02,5.400000000000000000e+02,5.580000000000000000e+02,5.760000000000000000e+02,5.940000000000000000e+02,6.120000000000000000e+02,6.300000000000000000e+02,6.480000000000000000e+02,6.660000000000000000e+02,6.840000000000000000e+02,7.020000000000000000e+02,7.200000000000000000e+02,7.380000000000000000e+02,7.560000000000000000e+02,7.740000000000000000e+02,7.920000000000000000e+02,8.100000000000000000e+02,8.280000000000000000e+02,8.460000000000000000e+02,8.640000000000000000e+02,8.820000000000000000e+02,9.000000000000000000e+02,9.180000000000000000e+02,9.360000000000000000e+02,9.540000000000000000e+02,9.720000000000000000e+02,9.900000000000000000e+02,1.008000000000000000e+03,1.026000000000000000e+03,1.044000000000000000e+03,1.062000000000000000e+03,1.080000000000000000e+03
CP,2.607999999999999902e-02,1.777199999999999891e-01,1.333900000000000086e-01,1.303199999999999914e-01,1.390800000000000092e-01,1.446600000000000108e-01,1.423200000000000021e-01,1.451800000000000035e-01,1.469600000000000073e-01,1.486699999999999966e-01,1.457499999999999907e-01,1.469199999999999950e-01,1.476500000000000035e-01,1.490499999999999881e-01,1.496200000000000030e-01,1.489300000000000068e-01,1.473200000000000065e-01,1.474000000000000032e-01,1.452499999999999902e-01,1.474399999999999877e-01,1.501000000000000112e-01,1.493200000000000083e-01,1.470499999999999863e-01,1.497799999999999965e-01,1.476699999999999957e-01,1.511099999999999943e-01,1.555499999999999938e-01,1.522699999999999887e-01,1.494699999999999918e-01,1.498700000000000032e-01,1.491899999999999893e-01,1.515400000000000080e-01,1.571400000000000019e-01,1.540999999999999870e-01,1.511500000000000066e-01,1.526099999999999957e-01,1.527199999999999946e-01,1.582999999999999963e-01,1.707200000000000106e-01,1.600600000000000078e-01,1.547900000000000109e-01,1.576200000000000101e-01,1.545700000000000129e-01,1.629200000000000093e-01,1.758200000000000041e-01,1.445200000000000096e-01,1.406100000000000128e-01,1.418999999999999984e-01,1.409199999999999897e-01,1.447700000000000098e-01,1.473899999999999932e-01,1.459199999999999942e-01,1.446099999999999886e-01,1.444300000000000028e-01,1.434100000000000097e-01,1.453299999999999870e-01,1.465299999999999936e-01,1.508799999999999863e-01,1.490599999999999981e-01,1.487999999999999878e-01
CP_H,1.069999999999999988e-03,7.300000000000000065e-03,5.479999999999999628e-03,5.349999999999999721e-03,5.709999999999999798e-03,5.939999999999999968e-03,5.839999999999999705e-03,5.960000000000000020e-03,6.029999999999999770e-03,6.100000000000000387e-03,5.980000000000000072e-03,6.029999999999999770e-03,6.060000000000000282e-03,6.119999999999999572e-03,6.139999999999999625e-03,6.119999999999999572e-03,6.049999999999999822e-03,6.049999999999999822e-03,5.960000000000000020e-03,6.049999999999999822e-03,6.159999999999999677e-03,6.130000000000000032e-03,6.040000000000000230e-03,6.150000000000000085e-03,6.060000000000000282e-03,6.210000000000000242e-03,6.389999999999999847e-03,6.250000000000000347e-03,6.139999999999999625e-03,6.150000000000000085e-03,6.130000000000000032e-03,6.219999999999999835e-03,6.450000000000000004e-03,6.329999999999999689e-03,6.210000000000000242e-03,6.270000000000000399e-03,6.270000000000000399e-03,6.499999999999999702e-03,7.009999999999999738e-03,6.570000000000000319e-03,6.360000000000000202e-03,6.470000000000000057e-03,6.349999999999999742e-03,6.689999999999999766e-03,7.219999999999999855e-03,5.930000000000000375e-03,5.769999999999999955e-03,5.830000000000000113e-03,5.790000000000000008e-03,5.939999999999999968e-03,6.049999999999999822e-03,5.989999999999999665e-03,5.939999999999999968e-03,5.930000000000000375e-03,5.890000000000000270e-03,5.969999999999999613e-03,6.020000000000000177e-03,6.199999999999999782e-03,6.119999999999999572e-03,6.109999999999999980e-03
CQ,4.150000000000000043e-03,2.827999999999999958e-02,2.122999999999999887e-02,2.074000000000000149e-02,2.213000000000000037e-02,2.301999999999999880e-02,2.264999999999999999e-02,2.310999999999999860e-02,2.339000000000000107e-02,2.366000000000000048e-02,2.319999999999999840e-02,2.338000000000000148e-02,2.350000000000000006e-02,2.372000000000000150e-02,2.381000000000000130e-02,2.369999999999999885e-02,2.344999999999999862e-02,2.346000000000000169e-02,2.312000000000000166e-02,2.347000000000000128e-02,2.389000000000000151e-02,2.376999999999999946e-02,2.340000000000000066e-02,2.384000000000000008e-02,2.350000000000000006e-02,2.404999999999999846e-02,2.476000000000000076e-02,2.424000000000000113e-02,2.378999999999999865e-02,2.384999999999999967e-02,2.374000000000000069e-02,2.411999999999999908e-02,2.501000000000000098e-02,2.452999999999999972e-02,2.406000000000000152e-02,2.428999999999999909e-02,2.430999999999999828e-02,2.519000000000000059e-02,2.716999999999999971e-02,2.546999999999999958e-02,2.463999999999999871e-02,2.509000000000000119e-02,2.460000000000000034e-02,2.593000000000000166e-02,2.798000000000000140e-02,2.299999999999999961e-02,2.238000000000000059e-02,2.257999999999999938e-02,2.242999999999999855e-02,2.304000000000000145e-02,2.346000000000000169e-02,2.322000000000000106e-02,2.301999999999999880e-02,2.299000000000000002e-02,2.282000000000000001e-02,2.313000000000000125e-02,2.332000000000000045e-02,2.401000000000000009e-02,2.372000000000000150e-02,2.367999999999999966e-02
CQ_H,1.069999999999999988e-03,7.300000000000000065e-03,5.479999999999999628e-03,5.349999999999999721e-03,5.709999999999999798e-03,5.939999999999999968e-03,5.839999999999999705e-03,5.960000000000000020e-03,6.029999999999999770e-03,6.100000000000000387e-03,5.980000000000000072e-03,6.029999999999999770e-03,6.060000000000000282e-03,6.119999999999999572e-03,6.139999999999999625e-03,6.119999999999999572e-03,6.049999999999999822e-03,6.049999999999999822e-03,5.960000000000000020e-03,6.049999999999999822e-03,6.159999999999999677e-03,6.130000000000000032e-03,6.040000000000000230e-03,6.150000000000000085e-03,6.060000000000000282e-03,6.210000000000000242e-03,6.389999999999999847e-03,6.250000000000000347e-03,6.139999999999999625e-03,6.150000000000000085e-03,6.130000000000000032e-03,6.219999999999999835e-03,6.450000000000000004e-03,6.329999999999999689e-03,6.210000000000000242e-03,6.270000000000000399e-03,6.270000000000000399e-03,6.499999999999999702e-03,7.009999999999999738e-03,6.570000000000000319e-03,6.360000000000000202e-03,6.470000000000000057e-03,6.349999999999999742e-03,6.689999999999999766e-03,7.219999999999999855e-03,5.930000000000000375e-03,5.769999999999999955e-03,5.830000000000000113e-03,5.790000000000000008e-03,5.939999999999999968e-03,6.049999999999999822e-03,5.989999999999999665e-03,5.939999999999999968e-03,5.930000000000000375e-03,5.890000000000000270e-03,5.969999999999999613e-03,6.020000000000000177e-03,6.199999999999999782e-03,6.119999999999999572e-03,6.109999999999999980e-03
CT,8.457000000000000628e-02,1.828599999999999948e-01,1.521599999999999897e-01,1.500700000000000089e-01,1.539500000000000035e-01,1.543200000000000127e-01,1.534000000000000086e-01,1.546399999999999997e-01,1.548299999999999954e-01,1.552699999999999914e-01,1.517799999999999983e-01,1.516200000000000048e-01,1.505799999999999916e-01,1.501599999999999879e-01,1.511200000000000043e-01,1.499600000000000100e-01,1.487300000000000011e-01,1.489399999999999891e-01,1.465599999999999958e-01,1.476699999999999957e-01,1.493200000000000083e-01,1.487100000000000088e-01,1.466999999999999971e-01,1.470400000000000040e-01,1.453099999999999947e-01,1.475200000000000122e-01,1.505199999999999871e-01,1.487400000000000111e-01,1.471000000000000085e-01,1.477999999999999869e-01,1.458299999999999874e-01,1.468099999999999961e-01,1.501200000000000034e-01,1.482600000000000029e-01,1.464300000000000046e-01,1.481300000000000117e-01,1.456899999999999862e-01,1.482100000000000084e-01,1.557300000000000073e-01,1.494499999999999995e-01,1.466500000000000026e-01,1.491000000000000103e-01,1.449900000000000078e-01,1.497400000000000120e-01,1.577699999999999936e-01,1.446900000000000130e-01,1.415899999999999936e-01,1.430200000000000082e-01,1.413399999999999934e-01,1.436300000000000077e-01,1.454699999999999882e-01,1.445500000000000118e-01,1.437400000000000067e-01,1.441099999999999881e-01,1.421600000000000086e-01,1.437499999999999889e-01,1.444699999999999873e-01,1.463899999999999924e-01,1.452700000000000102e-01,1.448000000000000120e-01
CT_H,1.090999999999999956e-02,2.358999999999999986e-02,1.963000000000000161e-02,1.935999999999999874e-02,1.985999999999999918e-02,1.991000000000000061e-02,1.978999999999999856e-02,1.994999999999999898e-02,1.997000000000000164e-02,2.002999999999999919e-02,1.958000000000000018e-02,1.956000000000000100e-02,1.942999999999999935e-02,1.936999999999999833e-02,1.949999999999999997e-02,1.934999999999999915e-02,1.918999999999999873e-02,1.921000000000000138e-02,1.890999999999999973e-02,1.905000000000000096e-02,1.925999999999999934e-02,1.917999999999999913e-02,1.892999999999999891e-02,1.897000000000000075e-02,1.874999999999999931e-02,1.902999999999999831e-02,1.941999999999999976e-02,1.918999999999999873e-02,1.898000000000000034e-02,1.907000000000000015e-02,1.881000000000000033e-02,1.893999999999999850e-02,1.936999999999999833e-02,1.913000000000000117e-02,1.889000000000000054e-02,1.910999999999999852e-02,1.879000000000000115e-02,1.912000000000000158e-02,2.009000000000000022e-02,1.927999999999999853e-02,1.891999999999999932e-02,1.923000000000000057e-02,1.870000000000000134e-02,1.932000000000000037e-02,2.035000000000000003e-02,1.866999999999999910e-02,1.827000000000000152e-02,1.845000000000000112e-02,1.822999999999999968e-02,1.853000000000000133e-02,1.876999999999999849e-02,1.864999999999999991e-02,1.854000000000000092e-02,1.858999999999999889e-02,1.833999999999999866e-02,1.855000000000000052e-02,1.864000000000000032e-02,1.889000000000000054e-02,1.873999999999999971e-02,1.867999999999999869e-02
Diameter,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01,2.540000000000000036e-01
EtaP,1.838610000000000078e+00,5.833399999999999697e-01,6.467100000000000071e-01,6.528199999999999559e-01,6.275699999999999612e-01,6.048000000000000043e-01,6.110400000000000276e-01,6.038599999999999524e-01,5.972800000000000331e-01,5.921300000000000452e-01,5.904000000000000359e-01,5.850600000000000245e-01,5.781500000000000528e-01,5.711500000000000465e-01,5.726099999999999524e-01,5.708400000000000141e-01,5.723500000000000254e-01,5.728400000000000158e-01,5.720399999999999929e-01,5.677999999999999714e-01,5.640100000000000113e-01,5.645999999999999908e-01,5.655799999999999716e-01,5.565600000000000547e-01,5.578699999999999770e-01,5.534599999999999520e-01,5.486100000000000421e-01,5.537800000000000500e-01,5.579100000000000170e-01,5.591099999999999959e-01,5.541599999999999859e-01,5.492200000000000415e-01,5.416199999999999903e-01,5.454400000000000359e-01,5.492099999999999760e-01,5.502799999999999914e-01,5.408199999999999674e-01,5.307800000000000296e-01,5.171599999999999531e-01,5.293400000000000327e-01,5.371200000000000419e-01,5.362599999999999589e-01,5.317899999999999849e-01,5.210700000000000331e-01,5.087399999999999700e-01,5.675999999999999934e-01,5.708800000000000541e-01,5.714099999999999735e-01,5.686200000000000143e-01,5.624700000000000255e-01,5.595099999999999518e-01,5.616100000000000536e-01,5.635299999999999754e-01,5.656900000000000261e-01,5.619899999999999896e-01,5.607699999999999907e-01,5.589600000000000124e-01,5.500500000000000389e-01,5.525099999999999456e-01,5.516799999999999482e-01
FOM,7.525199999999999667e-01,3.510699999999999932e-01,3.550400000000000222e-01,3.559100000000000041e-01,3.465500000000000247e-01,3.343800000000000106e-01,3.368200000000000083e-01,3.341999999999999971e-01,3.307599999999999985e-01,3.283800000000000052e-01,3.237200000000000077e-01,3.206200000000000161e-01,3.157400000000000206e-01,3.114899999999999891e-01,3.132800000000000029e-01,3.111099999999999977e-01,3.106499999999999817e-01,3.111400000000000277e-01,3.082099999999999840e-01,3.070800000000000196e-01,3.067300000000000026e-01,3.064200000000000257e-01,3.048799999999999844e-01,3.003600000000000159e-01,2.992900000000000005e-01,2.991699999999999915e-01,2.995599999999999929e-01,3.005800000000000138e-01,3.011499999999999733e-01,3.025100000000000011e-01,2.978299999999999836e-01,2.961699999999999888e-01,2.953399999999999914e-01,2.955699999999999994e-01,2.957699999999999774e-01,2.980599999999999916e-01,2.905200000000000005e-01,2.875800000000000023e-01,2.872199999999999753e-01,2.879999999999999782e-01,2.894900000000000251e-01,2.914200000000000124e-01,2.849900000000000211e-01,2.837799999999999767e-01,2.843999999999999861e-01,3.038600000000000190e-01,3.023299999999999876e-01,3.041300000000000114e-01,3.008600000000000163e-01,3.000099999999999989e-01,3.003299999999999859e-01,3.005099999999999993e-01,3.006900000000000128e-01,3.022299999999999986e-01,2.982099999999999751e-01,2.992299999999999960e-01,2.990099999999999980e-01,2.961900000000000088e-01,2.963700000000000223e-01,2.954499999999999904e-01
